Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request date,Request hour,Request day,Request hour timeslot,Drop date,Drop hour,Drop day,Drop hour timeslot
619,Airport,1.0,Trip Completed,2016-11-07 11:51:00,2016-11-07 13:00:00,2016-11-07,11,Monday,Late morning,2016-11-07,13.0,Monday,Afternoon
867,Airport,1.0,Trip Completed,2016-11-07 17:57:00,2016-11-07 18:47:00,2016-11-07,17,Monday,Evening,2016-11-07,18.0,Monday,Evening
1807,City,1.0,Trip Completed,2016-12-07 09:17:00,2016-12-07 09:58:00,2016-12-07,9,Wednesday,Late morning,2016-12-07,9.0,Wednesday,Late morning
2532,Airport,1.0,Trip Completed,2016-12-07 21:08:00,2016-12-07 22:03:00,2016-12-07,21,Wednesday,Night,2016-12-07,22.0,Wednesday,Night
3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,2016-07-13,8,Wednesday,Early morning,2016-07-13,9.0,Wednesday,Late morning
3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,2016-07-13,21,Wednesday,Night,2016-07-13,22.0,Wednesday,Night
4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,2016-07-14,6,Thursday,Early morning,2016-07-14,7.0,Thursday,Early morning
5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,2016-07-15,5,Friday,Early morning,2016-07-15,6.0,Friday,Early morning
6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,2016-07-15,17,Friday,Evening,2016-07-15,18.0,Friday,Evening
267,City,2.0,Trip Completed,2016-11-07 06:46:00,2016-11-07 07:25:00,2016-11-07,6,Monday,Early morning,2016-11-07,7.0,Monday,Early morning
1467,Airport,2.0,Trip Completed,2016-12-07 05:08:00,2016-12-07 06:02:00,2016-12-07,5,Wednesday,Early morning,2016-12-07,6.0,Wednesday,Early morning
1983,City,2.0,Trip Completed,2016-12-07 12:30:00,2016-12-07 12:57:00,2016-12-07,12,Wednesday,Late morning,2016-12-07,12.0,Wednesday,Late morning
2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,2016-07-13,4,Wednesday,Late night,2016-07-13,5.0,Wednesday,Early morning
3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,2016-07-13,8,Wednesday,Early morning,2016-07-13,9.0,Wednesday,Late morning
3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,2016-07-13,14,Wednesday,Afternoon,2016-07-13,15.0,Wednesday,Afternoon
3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,2016-07-13,17,Wednesday,Evening,2016-07-13,18.0,Wednesday,Evening
4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,2016-07-14,12,Thursday,Late morning,2016-07-14,12.0,Thursday,Late morning
5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,2016-07-14,22,Thursday,Night,2016-07-14,23.0,Thursday,Night
535,Airport,3.0,Trip Completed,2016-11-07 10:00:00,2016-11-07 10:31:00,2016-11-07,10,Monday,Late morning,2016-11-07,10.0,Monday,Late morning
960,Airport,3.0,Trip Completed,2016-11-07 18:45:00,2016-11-07 19:23:00,2016-11-07,18,Monday,Evening,2016-11-07,19.0,Monday,Evening
1934,Airport,3.0,Trip Completed,2016-12-07 11:17:00,2016-12-07 12:23:00,2016-12-07,11,Wednesday,Late morning,2016-12-07,12.0,Wednesday,Late morning
2083,Airport,3.0,Trip Completed,2016-12-07 15:46:00,2016-12-07 16:40:00,2016-12-07,15,Wednesday,Afternoon,2016-12-07,16.0,Wednesday,Afternoon
2211,Airport,3.0,Trip Completed,2016-12-07 18:00:00,2016-12-07 18:28:00,2016-12-07,18,Wednesday,Evening,2016-12-07,18.0,Wednesday,Evening
3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,2016-07-13,8,Wednesday,Early morning,2016-07-13,9.0,Wednesday,Late morning
3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,2016-07-13,21,Wednesday,Night,2016-07-13,22.0,Wednesday,Night
5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,2016-07-14,21,Thursday,Night,2016-07-14,22.0,Thursday,Night
5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2016-07-15,2,Friday,Late night,2016-07-15,3.0,Friday,Late night
5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,2016-07-15,10,Friday,Late morning,2016-07-15,10.0,Friday,Late morning
669,City,4.0,Trip Completed,2016-11-07 13:08:00,2016-11-07 13:49:00,2016-11-07,13,Monday,Afternoon,2016-11-07,13.0,Monday,Afternoon
1567,Airport,4.0,Trip Completed,2016-12-07 06:21:00,2016-12-07 07:10:00,2016-12-07,6,Wednesday,Early morning,2016-12-07,7.0,Wednesday,Early morning
1826,City,4.0,Trip Completed,2016-12-07 09:27:00,2016-12-07 10:27:00,2016-12-07,9,Wednesday,Late morning,2016-12-07,10.0,Wednesday,Late morning
2102,City,4.0,Trip Completed,2016-12-07 16:09:00,2016-12-07 17:01:00,2016-12-07,16,Wednesday,Afternoon,2016-12-07,17.0,Wednesday,Evening
2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,2016-07-13,5,Wednesday,Early morning,2016-07-13,6.0,Wednesday,Early morning
3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,2016-07-13,19,Wednesday,Evening,2016-07-13,20.0,Wednesday,Evening
4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2016-07-14,2,Thursday,Late night,2016-07-14,3.0,Thursday,Late night
4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,2016-07-14,13,Thursday,Afternoon,2016-07-14,13.0,Thursday,Afternoon
5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,2016-07-15,8,Friday,Early morning,2016-07-15,9.0,Friday,Late morning
6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,2016-07-15,15,Friday,Afternoon,2016-07-15,15.0,Friday,Afternoon
312,City,5.0,Trip Completed,2016-11-07 07:27:00,2016-11-07 08:31:00,2016-11-07,7,Monday,Early morning,2016-11-07,8.0,Monday,Early morning
577,Airport,5.0,Trip Completed,2016-11-07 11:03:00,2016-11-07 12:01:00,2016-11-07,11,Monday,Late morning,2016-11-07,12.0,Monday,Late morning
1179,City,5.0,Trip Completed,2016-11-07 20:58:00,2016-11-07 21:45:00,2016-11-07,20,Monday,Evening,2016-11-07,21.0,Monday,Night
1756,Airport,5.0,Trip Completed,2016-12-07 08:40:00,2016-12-07 09:23:00,2016-12-07,8,Wednesday,Early morning,2016-12-07,9.0,Wednesday,Late morning
2052,City,5.0,Trip Completed,2016-12-07 14:48:00,2016-12-07 15:50:00,2016-12-07,14,Wednesday,Afternoon,2016-12-07,15.0,Wednesday,Afternoon
2559,City,5.0,Trip Completed,2016-12-07 21:32:00,2016-12-07 22:29:00,2016-12-07,21,Wednesday,Night,2016-12-07,22.0,Wednesday,Night
3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,2016-07-13,7,Wednesday,Early morning,2016-07-13,8.0,Wednesday,Early morning
3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,2016-07-13,12,Wednesday,Late morning,2016-07-13,12.0,Wednesday,Late morning
4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,2016-07-14,6,Thursday,Early morning,2016-07-14,7.0,Thursday,Early morning
5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,2016-07-15,9,Friday,Late morning,2016-07-15,10.0,Friday,Late morning
6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,2016-07-15,22,Friday,Night,2016-07-15,23.0,Friday,Night
1517,Airport,6.0,Trip Completed,2016-12-07 05:45:00,2016-12-07 06:28:00,2016-12-07,5,Wednesday,Early morning,2016-12-07,6.0,Wednesday,Early morning
1999,Airport,6.0,Trip Completed,2016-12-07 13:02:00,2016-12-07 13:51:00,2016-12-07,13,Wednesday,Afternoon,2016-12-07,13.0,Wednesday,Afternoon
2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,2016-07-13,6,Wednesday,Early morning,2016-07-13,7.0,Wednesday,Early morning
3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,2016-07-13,21,Wednesday,Night,2016-07-13,22.0,Wednesday,Night
4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2016-07-14,2,Thursday,Late night,2016-07-14,3.0,Thursday,Late night
4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,2016-07-14,14,Thursday,Afternoon,2016-07-14,15.0,Thursday,Afternoon
5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,2016-07-14,21,Thursday,Night,2016-07-14,22.0,Thursday,Night
6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,2016-07-15,0,Friday,,2016-07-15,1.0,Friday,
5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,2016-07-15,7,Friday,Early morning,2016-07-15,8.0,Friday,Early morning
6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,2016-07-15,14,Friday,Afternoon,2016-07-15,15.0,Friday,Afternoon
1039,City,7.0,Trip Completed,2016-11-07 19:31:00,2016-11-07 20:41:00,2016-11-07,19,Monday,Evening,2016-11-07,20.0,Monday,Evening
1273,Airport,7.0,Trip Completed,2016-11-07 22:07:00,2016-11-07 23:12:00,2016-11-07,22,Monday,Night,2016-11-07,23.0,Monday,Night
2480,City,7.0,Trip Completed,2016-12-07 20:39:00,2016-12-07 21:28:00,2016-12-07,20,Wednesday,Evening,2016-12-07,21.0,Wednesday,Night
